GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,Connect4,9,GAME_OVER,19,0,2,2,FirstAction,-1.0,1.0,osla,2,FirstAction,2,1,1,osla,osla,FirstAction,0
879079583,Connect4,3,GAME_OVER,7,0,2,3,FirstAction,-1.0,1.0,osla,2,FirstAction,2,1,1,osla,osla,FirstAction,0
-619666105,Connect4,3,GAME_OVER,7,0,2,4,FirstAction,-1.0,1.0,osla,2,FirstAction,2,1,1,osla,osla,FirstAction,0
503938916,Connect4,3,GAME_OVER,7,0,2,5,FirstAction,-1.0,1.0,osla,2,FirstAction,2,1,1,osla,osla,FirstAction,0
-428737539,Connect4,5,GAME_OVER,11,0,2,6,FirstAction,-1.0,1.0,osla,2,FirstAction,2,1,1,osla,osla,FirstAction,0
-1745970416,Connect4,5,GAME_OVER,11,0,2,7,FirstAction,-1.0,1.0,osla,2,FirstAction,2,1,1,osla,osla,FirstAction,0
-1436161366,Connect4,3,GAME_OVER,7,0,2,8,FirstAction,-1.0,1.0,osla,2,FirstAction,2,1,1,osla,osla,FirstAction,0
-1151041315,Connect4,3,GAME_OVER,7,0,2,9,FirstAction,-1.0,1.0,osla,2,FirstAction,2,1,1,osla,osla,FirstAction,0
697067980,Connect4,5,GAME_OVER,11,0,2,10,FirstAction,-1.0,1.0,osla,2,FirstAction,2,1,1,osla,osla,FirstAction,0
1168140970,Connect4,3,GAME_OVER,7,0,2,11,FirstAction,-1.0,1.0,osla,2,FirstAction,2,1,1,osla,osla,FirstAction,0
