GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,Connect4,4,GAME_OVER,9,0,2,2,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
879079583,Connect4,3,GAME_OVER,7,0,2,3,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-619666105,Connect4,3,GAME_OVER,7,0,2,4,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
503938916,Connect4,3,GAME_OVER,7,0,2,5,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-428737539,Connect4,3,GAME_OVER,7,0,2,6,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1745970416,Connect4,3,GAME_OVER,7,0,2,7,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1436161366,Connect4,3,GAME_OVER,7,0,2,8,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1151041315,Connect4,3,GAME_OVER,7,0,2,9,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
346665430,Connect4,4,GAME_OVER,9,0,2,10,BasicMCTS,-1.0,1.0,RMHC,2,BasicMCTS,2,1,1,RMHC,RMHC,BasicMCTS,0
879079583,Connect4,3,GAME_OVER,7,0,2,11,BasicMCTS,-1.0,1.0,RMHC,2,BasicMCTS,2,1,1,RMHC,RMHC,BasicMCTS,0
-619666105,Connect4,3,GAME_OVER,7,0,2,12,BasicMCTS,-1.0,1.0,RMHC,2,BasicMCTS,2,1,1,RMHC,RMHC,BasicMCTS,0
503938916,Connect4,3,GAME_OVER,7,0,2,13,BasicMCTS,-1.0,1.0,RMHC,2,BasicMCTS,2,1,1,RMHC,RMHC,BasicMCTS,0
-428737539,Connect4,3,GAME_OVER,7,0,2,14,BasicMCTS,-1.0,1.0,RMHC,2,BasicMCTS,2,1,1,RMHC,RMHC,BasicMCTS,0
-1745970416,Connect4,3,GAME_OVER,7,0,2,15,BasicMCTS,-1.0,1.0,RMHC,2,BasicMCTS,2,1,1,RMHC,RMHC,BasicMCTS,0
-1436161366,Connect4,3,GAME_OVER,7,0,2,16,BasicMCTS,-1.0,1.0,RMHC,2,BasicMCTS,2,1,1,RMHC,RMHC,BasicMCTS,0
-1151041315,Connect4,6,GAME_OVER,13,0,2,17,BasicMCTS,-1.0,1.0,RMHC,2,BasicMCTS,2,1,1,RMHC,RMHC,BasicMCTS,0
346665430,Connect4,3,GAME_OVER,7,0,2,18,BasicMCTS,-1.0,1.0,SuperOSLA,2,BasicMCTS,2,1,1,SuperOSLA,SuperOSLA,BasicMCTS,0
879079583,Connect4,3,GAME_OVER,7,0,2,19,BasicMCTS,-1.0,1.0,SuperOSLA,2,BasicMCTS,2,1,1,SuperOSLA,SuperOSLA,BasicMCTS,0
-619666105,Connect4,3,GAME_OVER,7,0,2,20,BasicMCTS,-1.0,1.0,SuperOSLA,2,BasicMCTS,2,1,1,SuperOSLA,SuperOSLA,BasicMCTS,0
503938916,Connect4,3,GAME_OVER,7,0,2,21,BasicMCTS,-1.0,1.0,SuperOSLA,2,BasicMCTS,2,1,1,SuperOSLA,SuperOSLA,BasicMCTS,0
-428737539,Connect4,3,GAME_OVER,7,0,2,22,BasicMCTS,-1.0,1.0,SuperOSLA,2,BasicMCTS,2,1,1,SuperOSLA,SuperOSLA,BasicMCTS,0
