GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-619666105,SushiGo,3,GAME_OVER,61,0,2,2,BasicMCTS,51.0,40.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-428737539,SushiGo,3,GAME_OVER,60,0,2,3,BasicMCTS,43.0,42.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1436161366,SushiGo,3,GAME_OVER,62,0,2,4,BasicMCTS,46.0,44.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
697067980,SushiGo,3,GAME_OVER,61,0,2,5,BasicMCTS,43.0,57.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1491060889,SushiGo,3,GAME_OVER,60,0,2,6,BasicMCTS,51.0,37.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-2121274456,SushiGo,3,GAME_OVER,60,0,2,7,BasicMCTS,56.0,60.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1706137030,SushiGo,3,GAME_OVER,62,0,2,8,BasicMCTS,40.0,44.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1376458976,SushiGo,3,GAME_OVER,60,0,2,9,BasicMCTS,51.0,52.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
813477029,SushiGo,3,GAME_OVER,64,0,2,10,BasicMCTS,55.0,51.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-118322159,SushiGo,3,GAME_OVER,60,0,2,11,BasicMCTS,51.0,34.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1144294523,SushiGo,3,GAME_OVER,62,0,2,12,BasicMCTS,43.0,46.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
23994827,SushiGo,3,GAME_OVER,62,0,2,13,BasicMCTS,54.0,54.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
2013120665,SushiGo,3,GAME_OVER,60,0,2,14,BasicMCTS,56.0,57.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1377239692,SushiGo,3,GAME_OVER,60,0,2,15,BasicMCTS,47.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1548656463,SushiGo,3,GAME_OVER,61,0,2,16,BasicMCTS,44.0,43.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-400394132,SushiGo,3,GAME_OVER,62,0,2,17,BasicMCTS,49.0,47.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1113178468,SushiGo,3,GAME_OVER,61,0,2,18,BasicMCTS,40.0,46.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1362911089,SushiGo,3,GAME_OVER,61,0,2,19,BasicMCTS,46.0,57.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1416514647,SushiGo,3,GAME_OVER,62,0,2,20,BasicMCTS,61.0,49.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1532681659,SushiGo,3,GAME_OVER,61,0,2,21,BasicMCTS,56.0,34.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
