GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,CantStop,0,GAME_OVER,124,32,2,2,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
879079583,CantStop,0,GAME_OVER,152,43,2,3,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-619666105,CantStop,0,GAME_OVER,84,22,2,4,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
503938916,CantStop,0,GAME_OVER,92,24,2,5,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-428737539,CantStop,0,GAME_OVER,89,23,2,6,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,0.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1745970416,CantStop,0,GAME_OVER,99,31,2,7,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1436161366,CantStop,0,GAME_OVER,88,22,2,8,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,1.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1151041315,CantStop,0,GAME_OVER,101,33,2,9,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
697067980,CantStop,0,GAME_OVER,139,38,2,10,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
1168140970,CantStop,0,GAME_OVER,137,22,2,11,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1491060889,CantStop,0,GAME_OVER,129,33,2,12,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-1819802610,CantStop,0,GAME_OVER,123,23,2,13,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
-2121274456,CantStop,0,GAME_OVER,116,27,2,14,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
259280696,CantStop,0,GAME_OVER,148,33,2,15,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,4.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1706137030,CantStop,0,GAME_OVER,61,16,2,16,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
545138396,CantStop,0,GAME_OVER,102,33,2,17,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1376458976,CantStop,0,GAME_OVER,172,35,2,18,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,2.0,BasicMCTS,BasicMCTS,BasicMCTS,1
1195311045,CantStop,0,GAME_OVER,166,43,2,19,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
813477029,CantStop,0,GAME_OVER,96,24,2,20,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,2.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-1466178614,CantStop,0,GAME_OVER,111,28,2,21,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,0.0,3.0,BasicMCTS,BasicMCTS,BasicMCTS,0
-118322159,CantStop,0,GAME_OVER,127,39,2,22,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,3.0,1.0,BasicMCTS,BasicMCTS,BasicMCTS,1
