GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
-428737539,SushiGo,3,GAME_OVER,103,0,4,2,3,BasicMCTS,3,2,2,1,1,4,Random,4,osla,rhea,BasicMCTS,22.0,47.0,50.0,16.0,Random,osla,rhea,Random,BasicMCTS,rhea,osla,3
697067980,SushiGo,3,GAME_OVER,99,0,4,3,3,osla,3,4,4,1,1,2,Random,2,rhea,BasicMCTS,osla,28.0,23.0,37.0,36.0,Random,rhea,BasicMCTS,Random,osla,BasicMCTS,rhea,3
-2121274456,SushiGo,3,GAME_OVER,98,0,4,4,2,Random,2,3,3,4,4,1,rhea,1,BasicMCTS,osla,Random,46.0,24.0,16.0,51.0,rhea,BasicMCTS,osla,rhea,Random,osla,BasicMCTS,2
1376458976,SushiGo,3,GAME_OVER,98,0,4,5,4,Random,4,3,3,2,2,1,osla,1,BasicMCTS,rhea,Random,25.0,28.0,36.0,39.0,osla,BasicMCTS,rhea,osla,Random,rhea,BasicMCTS,2
-118322159,SushiGo,3,GAME_OVER,97,0,4,6,1,osla,1,3,3,2,2,4,rhea,4,Random,BasicMCTS,osla,40.0,29.0,38.0,24.0,rhea,Random,BasicMCTS,rhea,osla,BasicMCTS,Random,1
23994827,SushiGo,3,GAME_OVER,97,0,4,7,1,Random,1,3,3,2,2,4,BasicMCTS,4,osla,rhea,Random,54.0,23.0,49.0,23.0,BasicMCTS,osla,rhea,BasicMCTS,Random,rhea,osla,1
-1377239692,SushiGo,3,GAME_OVER,99,0,4,8,1,BasicMCTS,1,2,2,3,3,4,rhea,4,Random,osla,BasicMCTS,50.0,27.0,23.0,23.0,rhea,Random,osla,rhea,BasicMCTS,osla,Random,1
-400394132,SushiGo,3,GAME_OVER,97,0,4,9,2,rhea,2,1,1,3,3,4,BasicMCTS,4,osla,Random,rhea,31.0,38.0,27.0,23.0,BasicMCTS,osla,Random,BasicMCTS,rhea,Random,osla,0
1362911089,SushiGo,3,GAME_OVER,99,0,4,10,2,osla,2,3,3,1,1,4,BasicMCTS,4,Random,rhea,osla,35.0,30.0,38.0,29.0,BasicMCTS,Random,rhea,BasicMCTS,osla,rhea,Random,3
-1532681659,SushiGo,3,GAME_OVER,99,0,4,11,4,rhea,4,1,1,2,2,3,Random,3,osla,BasicMCTS,rhea,18.0,43.0,35.0,24.0,Random,osla,BasicMCTS,Random,rhea,BasicMCTS,osla,0
-1652369011,SushiGo,3,GAME_OVER,96,0,4,12,1,Random,1,3,3,4,4,2,rhea,2,BasicMCTS,osla,Random,40.0,28.0,25.0,38.0,rhea,BasicMCTS,osla,rhea,Random,osla,BasicMCTS,1
-382843140,SushiGo,3,GAME_OVER,98,0,4,13,1,Random,1,3,3,2,2,4,rhea,4,osla,BasicMCTS,Random,66.0,26.0,31.0,25.0,rhea,osla,BasicMCTS,rhea,Random,BasicMCTS,osla,1
-1466223696,SushiGo,3,GAME_OVER,96,0,4,14,4,rhea,4,2,2,3,3,1,Random,1,BasicMCTS,osla,rhea,27.0,42.0,34.0,46.0,Random,BasicMCTS,osla,Random,rhea,osla,BasicMCTS,2
2021511387,SushiGo,3,GAME_OVER,97,0,4,15,2,osla,2,4,4,3,3,1,BasicMCTS,1,rhea,Random,osla,34.0,27.0,31.0,47.0,BasicMCTS,rhea,Random,BasicMCTS,osla,Random,rhea,2
-1294795098,SushiGo,3,GAME_OVER,96,0,4,16,4,rhea,4,2,2,1,1,3,osla,3,Random,BasicMCTS,rhea,16.0,36.0,39.0,22.0,osla,Random,BasicMCTS,osla,rhea,BasicMCTS,Random,3
-2039767727,SushiGo,3,GAME_OVER,98,0,4,17,1,rhea,1,2,2,3,3,4,BasicMCTS,4,Random,osla,rhea,57.0,50.0,20.0,19.0,BasicMCTS,Random,osla,BasicMCTS,rhea,osla,Random,1
