GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,DotsAndBoxes,0,GAME_OVER,82,47,2,2,BasicMCTS,34.0,1.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
879079583,DotsAndBoxes,0,GAME_OVER,82,47,2,3,BasicMCTS,33.0,2.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-619666105,DotsAndBoxes,0,GAME_OVER,82,47,2,4,BasicMCTS,31.0,4.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
503938916,DotsAndBoxes,0,GAME_OVER,82,48,2,5,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-428737539,DotsAndBoxes,0,GAME_OVER,82,47,2,6,BasicMCTS,30.0,5.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1745970416,DotsAndBoxes,0,GAME_OVER,82,47,2,7,BasicMCTS,33.0,2.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1436161366,DotsAndBoxes,0,GAME_OVER,82,47,2,8,BasicMCTS,34.0,1.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1151041315,DotsAndBoxes,0,GAME_OVER,82,47,2,9,BasicMCTS,34.0,1.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
697067980,DotsAndBoxes,0,GAME_OVER,82,48,2,10,BasicMCTS,29.0,6.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
1168140970,DotsAndBoxes,0,GAME_OVER,82,47,2,11,BasicMCTS,26.0,9.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
-1491060889,DotsAndBoxes,0,GAME_OVER,82,47,2,12,BasicMCTS,27.0,8.0,osla,1,BasicMCTS,1,2,2,osla,osla,BasicMCTS,1
